ā,吖呵啊𠼞𥥩腌𨉚锕錒阿
hàn,仠㑵傼㒈𠢇含𠹄𡁀垾𡣔屽岾𡷛𡻡𢀵𢃗𢄜𢇞𢎘㢨𢔔忓悍感憾𢧦扞捍㨔撖撼攼㪋旰旱晘暵𣐺桿𣒷㲦汉汗泔浛涆涵淊漢㵄澉澣𤀉瀚灘焊𤌐熯猂𤞶㺝𤳉皔𤿧睅𥇌䁔𥉰矸罕𦋣翰𦒅䎯肣䏷䐄莟菡䓿𧂃蘫䕿䖔蛿蜭螒䗣䘶䛞譀䜗𧰪𧵊𨁄邯𨛎酣𨢈釬銲鋎閈闬𨸗䧲雗靬𩎒頷颔顄顩䫲𩕠𩖺𩗤𩞿馯駻𫘣䮧𩭥𩹑𩹼鳱𩾝𪁟鶾
han,兯爳
hāng,𠡊夯忼㬻㰠炕𤵻䂫䦭𩠾𩲋𪐦𪕇
háng,吭垳妔㤚斻杭桁沆珩𤼍䀪笐筕絎绗𦐄肮航𦨵苀蚢行䘕𧘃𧦑貥𨁈迒䢚邟𨾒頏颃魧𩶞䲳𪗜
狠,狼
hàng,吭𡕧巷忼桁沆𤰟笐𥮕行䟘䣈酐𩉜頏𩔋
hāo,嚆𡽝𢻇𣭖𣭹𤡇𤢨茠蒿薅薧𧯌鎒𩮘
háo,儫𠚃𠢕号呺唬嗥噑嘷嚎𡐒壕㠙㩝㬔椃𣘫毜毫𣽎𤀃濠獆獔獋𤢭皋竓籇膠號虠蚝蠔諕譹豪貉䝥𨂜𨒑𨚙𨼍䧫𩐮𩕍𩖸𩫕
hǎo,好𡥆𤫧郝
hào,傐号哠㘪𡐒㙱𡚌好妞㚪𡚽𡠖𡥆㝀㞻恏悎昊昦𣆧晧暠暤暭曍㬶𣚧𣱓浩淏滈澔灏灝𤝐𤩩𤩭皓皜皞皡皥睾𥍣秏𥢑翯耗聕䒵𦳁薃藃號𧇼䚽𧦝𧬁䝞𨚮鄗𨝲𨠬鎬镐䧚䪽顥颢䯫𩲊鰝
hē,𠀀呵哈𠳊𠵩喝嗬𢥳抲㰤欱㰰𣣹㿣𥘫䏜𦘿苛荷蠚訶诃𩐥𩑸䶎𪖲
hé,何𠘢𠚔𠛳劾㔠𠧕㕡合咊和𠰓咼哈哬𠳇啝喛𠶹嗑𠻙噈㗿𡇞𡇶姀害峆𢄍惒㥺㧁挌揭㪃敆㪉曷𣏷柇核㭘㭱楁㮝㮫毼𣰌𣲑河𣲲洽涸渮渴澕𣿌𤈧熆𤖱㹇犵狢㿥皬盇盉盍盒䃒礉禾𥝖𥝸𥞄𥞍秴䅂𥞩𥟃篕籺粭𥻉𥽶紇纥𦃔繳𦇸翮𦒏𦛘𦛜䒩荷菏萂𦳬𦼰𦼵䕣藿𧇎𧇮蚵𧊬蝎螛𧝳覈訸詥𧪞𧭳𧮵𧲦貈貉䞦𨋟輅𨍇轄䢔郃𨜱𨜴鉌𨨛鑉閡閤阂𨴢闔阖𩅢鞨𩌡頜颌䫘餄饸餲䮤𩩲魺鲄䳚鶡鹖𪈊麧䶅齕龁𪘹龢
hě,㪋
hè,𠁗何佫𠗂𠡀吓呼和哧喝𠶾嗃嚇𡀽垎壑㚘寉𡫥𢅰愒抲𢬲𣆈㬞曷格㵑焃煂㷎熇𤌾燺爀猲㾑癋𥉑𥋿硅碋穒翯䐧𦞦𦤦荷䓇䓼𦺞𦽅藃𧀔袔褐𧝂䚂𧨂謞𧬂𧬱𧯉賀贺赫隺霍𩄸靍靎靏𩩒䯨鬩𩵢鵠鶡鶮鶴鹤䳽鸖齃
hēi,嗨嘿𢡀㱄潶𥕙𨭆𩻤黑黒𢖛
hēn,噷
hén,拫掀㯊痕𦚣艮鞎
hěn,佷哏很狠䓳詪
hèn,恨
hēng,亨哼啈悙𣨉涥脝𦨾訇
héng,佷㔰𠧿𠔲姮𡧦恆恒桁横橫㶇烆狟珩𤮏𥞧胻𦪗𦶙蘅行衡𧝒鑅䬖䬝𩙯䯒鴴鵆鸻𪏓
hèng,啈堼悙横
hm,噷
hng,哼
hōng,𠐿叿吽呍哄哅𠹅嚝巆𢝁𢝻㧦揈渹𤃫灴烘焢𤟼硡𥓰𥔀𥕗䆪𦐳𦑟𦑠䎕𦒃𦕠薨訇謍谾軣轰𨋮𨌁輷𨎗轟鍧𩐠𩒼𩓅𩖉𩗄𩘇𩙛𪈘
hóng,仜共𠪷厷叿吰𠲓㖓㗢𡇳垬妅娂宏宖屸𡵓𢂔弘㢬彋𢘌𢬀揈汪汯泓洚洪浤浲渱潂𤂲𤄏玒玜瓨𥏕硔䂫䃔䆖𥥈竑竤篊䉺粠紅红紘纮紭綋𦁷𦏺翃𦐌翝耾舼苰荭葒葓蕻虹𧈽𧐬䜫谹𧮴谼䞑䡌䡏𨌆鈜𨥺鉷鋐閎闳䧆𨹁𨾊䨎霐霟䩑鞃䪦䫹䫺𩘎魟𫚉𩶥䲨鴻鸿黉黌
hǒng,哄唝嗊𢗵愩𢦅𢼦晎㬴𣽝䀧𨢣𩒓𩕆𩕉
hòng,哄𠳃㗢𡺭撔港澋澒㶹𥈿𥥡𥰲𦕷𦶓蕻虹𧊯𧋔訌讧𧾧銾閧闀闂𩒴𩗢鬨𩰓鴻
hōu,𠯜呴𩙡𪅺𪖙齁
hóu,侯喉㗋𡞥𡟑𡹵帿㤧𢜴㬋㮢𣔹𣣠𣣡猴㺅瘊睺𥈑䂉矦𥚦篌糇翭𦑚翵𦚥腄𦞈𦞕葔𧇹䗔䙈𧮶𧼵鄇銗鍭𩃺䫛餱骺鯸䳧𪃶𪑻
hǒu,吼吽呴㖃𠴣𤘽㸸𤙽犼𦍵𧻿
hòu,侯候厚后㖃𠷋垕堠後㫗㰯㰻洉𥀃𥅠䗔𧙺詬𧩨豞䞀䞧𨒙逅郈𩄬䪷𩘋鲎鮜鲘鱟𪄗𪇂
hū,乎乯匢匫𠥰𠦪呼唿嘑垀𡧥寣𡱽𡼘幠𢑢忽恗惚惡㦆㦌戏戯戲㧮㧾𢽨昒㫚曶𣓗𣡾歑泘淲淴㳷滹烀𤇠𤎲𤐀㺀𤶘𥇰糊𦁕膴𦩕芔芴苸䓤虍虖𧇛𧠩𧢰𧦝𧩓謼軤轷𨕚𨖃雐𩂂雽䨚䩐𩖨䬍䰧𩳨𩶈䴣䴯
hú,和𠴱喖㗅嘝囫𡍐壶壷壺媩𡰅𡹹𢉢𢎵弧𢏯𢑹𢓲抇𢪏搰㪶斛𣄟𣎚核楜槲𣙶㯛𣛫𣝗𣫈汩沍𣲑湖㴶𣹬瀫焀煳𤌍𤘵狐𤝘𤞲猢瑚瓠瓡瓳𤭱㽇㾰𤾅𥂤䁫𥐿礐箶𥰪䈸䉉𥶜𥷆䉿䊀糊𥾨絗縎縠𦊧𦏗䎁𦖼𦗣胡𦧘葫𦴉𦷳蔛𦺟虖𧇰蝴𧍵螜衚𧛞𧞒䚛𧣼觳𧲥𧹾䞱𧻰䠒𨍲醐𨢋𨣗鈷鋘鍸𨴬隺䧼䩴𩑶頶䭅餬䭌䭍𩢪𩨔鬍𩰯𩱍魱𩵬鰗𩾻鴩鵠鹄𪂒鶘鶦鹕鶮鶻鹘𪏻𪕉𪕮𪕱𪙈
hǔ,乕俿唬汻浒淲滸滹琥箎萀虎𧆢𧆮虝䗂𧌧許𧰴𨛵𨝘錿鯱
hù,乥互冱冴㕆𠯳𠰛嗀嗃嘑嚛𡉴姱𡜂婟𡞠嫭嫮𡴱𡵘岵𡻮帍𢆰弖怘怙𢚪戶户戸𢨥𢨦戽㦿扈护摢㨭擭昈枑𣑂楛槴㱿沍沪𣲑洿淈滬濩㷤熩㸦𤘔𤜷㺉𤨖瓠𤹣祜𥢍𥢟穫笏䇘簄𥲉粐糊䊺綔䍓𦊂𦊘羽胍芐芦𦬚苦𦭈蔰𧂔䕶𧅰虎虖𧆯𧗌𧘢觷𧥮𧥯𧦚護豰𧲇𧹲𧿓𧿠鄠𨝞𨢤䤕𨥛𨱀鍙雇雽䨼韄䪝頀魱鳠鱯鳸𪄮鸌鹱𪍂𪏳
hu,𩾇
huā,𠝐化吪哗嘩𡁑埖婲椛㳸𤙕砉硴竵糀𦧹花芲華蒊蒍𦶎蘤誮𨣄錵𨶱𩝨
huá,侉划劃劐华㕲哇哗𠳂嘩姡學㟆㠏㦊找搳撶㩇敌𢼤㭉㮯滑澮𤁪猾獪𥉄磆䅿𥢮𦧠華䔢蕐𦽊螖𧑍𧨋𧪮譁豁𧽌釪釫铧鋘鏵骅𩤉驊𩨔䯏䱻𪉊鷨䴳𪗽䶤
huà,划㓰劃𠤎化华叱㕦㕷咶𠿜㚌夻婳嫿嬅崋𡺛𢄶𢦚摦杹桦槬樺檴𣶩澅㼫画畫畵𤼒䀨𥒶稞𥧰䇈粿䋀𦁊繣罫𦖍腂舙𦧵𦪠華觟話话䛡諙諣譮輠𨶬𩂤𩗐𩲏𩵏魤鮭𩸄黊
huái,佪圳壞㜳㠢徊怀懐懷槐櫰淮瀤𤜄䃶䈭耲蘹褢褱踝𩌃𪊉
huài,咶喟坏坯壊壞𣟉𣩹𣸎𤜄𦏨𦧬蘾𧱳𩟮
huai,划劃
huān,𠂄嚾𡚊𡚜孉巜懁懽𣌓𣎅欢欥歓歡𤛚㹕犿獾𥐓𥹚䑏讙豩貆貛酄𨽧𩦘驩𩵄鴅𩿊鵍鸛𪈩
huán,𠟼𡄤圜垸𡍦𡘍嬛寏𡩂寰𡱌峘𡷗㡲𢟿桓汍洹澴㵹㶎狟环瑗環𤩽瓛㿪睔瞏䁵𥹳糫絙綄繯缳羦𦣴荁萈萑蒝𦻃𦼉豲貆䝠轘还𨕹還郇鉮鍰锾鐶镮䥧䦡闤阛雈雚𩍡𩑖𩙽𩡧䭴鬟鹮䴉䴋䴟𪊥𪍺
huǎn,㣪攌㬊𣴟𤀣𤼢睆䈠𥶍緩缓𦑛𧡩
huàn,㕕唤喚喛𠺐𠻍嚾𡅱𡅻圂奂奐宦𡷗嵈幻患愌换換援擐㪱㬇㬊梙槵浣涣渙漶澣灌烉焕煥㹖𤡟𤢁瑍環㼫𤴯痪瘓𤼐𤽅𤽕皖䀓眩睆𥈉𥏇䄆𥠅䆠綄𦌦䍺肒脘𦝝䒛藧螌蠸𧚁讙豢𧴊䠉轘逭𨜌䯘鯇鲩鯶鰀䴷𪍺
huāng,塃𡜋𡡄𡧽巟𡿰㠵𢁹㡃𢇟慌𣆖朚㬻𣺬𤆴𤠛𤭉㼹䀮𥿪肓芒荒衁𧖬𧠬𨚳𩢯𪀞
huáng,𠂸偟凰喤𡉚堭墴媓㞷崲徨惶揘楻横湟潢煌熿𤚝𤛥獚瑝璜𤯷㾮癀皇𤾑磺䄓䅣穔䅿篁篊簧䊗䊣䍿䐵𦡽䑟艎𦪗荒葟蝗蟥𧕸諻䞹趪𨉤𨍧遑𨜔𨝴鍠锽鐄𨱑隍䪄韹餭𫗮𩞩騜䮲鰉鳇鱑䳨鷬䵃黃黄𪏍𪏒𪏙
huǎng,兤奛𡧽宺幌怳恍㤺愰慌㨪𣄙晃晄𣉪㬻櫎汻炾熀熿爌䁜縨䐠𦟮芒𦬺茫荒𦵽詤𧨆谎謊𨾡
huàng,愰㨪晃曂榥横洸滉潢㿠皝皩䁜𥫼䌙𨉁鎤
huang,慌
huī,𠓊𠯠咴噅堕墮𡒾婎媈㞀𢀡幑𢊄徽恢戲㧑拻挥揮𢯷撝𣄓㫎晖暉椲楎洃瀈灰灳烣㷇煇煒噕𤕚㹆𤟤㺔珲琿㾯皓𤾈𥃌眭睢睳𥌍禈翚翬𦭹蘳虺𡯥𧉇䖶𧗼袆褘詼诙䜐豗䝅𧳐輝辉𨦗鑴隓隳𩀶鰴𩻟𪀬𪈑麾𪏏𪑀鼿𪖕
huí,佪𠲛囘回囬𡋙𡰋𡹎廻廽徊恛洄烠𤜡痐繢茴藱蚘蛔蛕蜖迴逥違𨛤韋𩢱鮰𫚔𪀟𪛂
huǐ,𠧩𡢕𡭛悔㩓檓毀毁毇泋𣸀𤃽烜烠𤈦㷄㷐𤌋燬𤳳䁤𥊔𥍋䃣𥶵𥸃䏨𦞙𦽐蘬虫虺蛕螝𧗏䛼譭𩃾𩗝𩶥𪏇
huì,会㑰㑹𠍗僡㒑儶匯卉𡥋𠧩叀哕𠱥喙嘒𠽡噦𠿔嚖圚𡏁墮壞𡜦㜇嬒孈寭屶屷㞧𡹯𢄣𢅫廆𢊇彗彙彚㣛徻𢕺恚恵㤬惠㥣慧𢟾憓㨤㨹㩨𢻔晦暳𣋘㬩會𦡖桧槥橞檅檜櫘㰥𣨶㱱殨毁汇沬泋洄浍涣湏溃滙潓澮濊𤆳烩燴𤜋獩㻅璤璯𤸁瘣𥀠瞺䂕𥔯秽䅏穢篲𥱵𥴯絵绘缋𦂆䌇繢繪翙𦒎翽芔荟蒐蔧蕙薈薉䕇藱蚘𧏧蟪𧖢䙡襘讳詯䛛誨诲𧧾諱譓䜋譮𧬨譿𧭾賄贿𨊢輠𨍹䢈𨗥𨘇𨘲銊䤧鏸鐬𨵘阓闠䧥𩆁𩇻䩈靧鞼韢𩒏頮颒𩒳𩔁䫭顪餯𪊂䵻𪔊䶐
hui,懳𣌭
hūn,𠉣㖧㗃婚𡨩惛惽昏昬𣇲棔𣣏殙涽湣焄𥄇睧睯䎜荤葷𧠚䡣閽阍𩅴𩔉
hún,㑮堚忶捆揮㨡昆梡梱㮯𣝂𣨿浑混渾湷溷煇珲琿䊐緄緡繉䐊𦟲䚠𨋨轋𨏂顐餛馄餫𩧰䮝魂䰟䴷䴹𪌽鼲
hǔn,惛𦃕𩽼𪑕
hùn,俒倱𠉣圂𡇯婫𡨳慁㥵掍昏棍𣣞涽混渾溷焝眃䅙䅱緄䐊𦞢𦡵𦵣𧣢觨䚠诨䛰諢𨂱𨡫䧰𩇇𩏖顐䫟䵪
huō,剨劐吙呵嚄搉攉火㺢耠豁鍃锪䦝𨷮騞𩦐𩭳
huó,佸和姡𡯢𢋒活𤻙䄆䄑秮秳𦨯萿𧵻越趏䣶
huǒ,伙夥扮漷火灬㶡𤆄𤬁邩鈥钬
huò,俰㓉𠙞剨劐㘞化𡪞𠯐和咟㖪𠵾㗲嚄嚯嚿𡄴壑𡓘奯𡾜𡿿𢃎惑𢛯𢝇𢞕㦎㦜㦯或捇掝㨯㩇擭攉旤𣄸𣉒曤楇㯉檴𣤨沎湱漷濊濩㶁𤁹瀖焃𤊴𤏘𤐰㸌獲㺢瓠癨眓𥇙䁨𥊮矆矐䂄砉𥒠礊䄀𥙨祸禍𥝂穫篧䉟𥽥𦑌𦑱𦒧耯𦞦膕䐸臛艧获蒦藿𧆑蠖𧤴諕謋豁𧯆𧯱豰貨货𧹴𨌝𨐶過𨘌𨙀镬鑊閄隻霍䨥𩆀靃䬉𩞺𩟨𩟸𩪭䰥䱛𪒩
huo,伙
jī,丌𠀃乩倚𠋻𠍃僟𠔋其几击刉刏𠚽剞𠟣勣卟叽呰咭𠀷唧𠴩喞𠷌嗘𠼻嘰𢨐𡇟圾垍基墼奇妓㚻姫姬㛷𡫀居㞓屐𡳮嵆嵇𡿙𢁂𢆻幾庴𢡴憿㦘懠𢩦撃撽擊攲𢼋敧㫷𣇳朞期机枅棋㮷槣樭機櫅𣪠毄𣬠𣰈汲激𤋭𤌿犄玑璣畸畿𤳎癪䀘䁶䂑矶磯𥘌禨积稘稽𥡒積𥨿𥫶笄筓䇧䇫箕䈕𥰦簊𥳏𥺵𥾡绩緝缉績羁𦌰羇羈耭肌脔䐚𦠄芨苙萁𦳌𦺬𦼷𦿓䕤蘄虀虮䗗𧐐𧗒𫌀襀覉覊覘觭讥諅䛴𧫠譏譤谿賫赍賷䟇跂跡跻踑踦蹟𨅤躋躸𨊻𨐆𨍺迹𨖊鄿銈錤鐖鑇鑙𨮺𨲪𨳻𨹶隔𨻕隮雞𩉜鞿𩐆韲飢饥𩚮𩜆饑𩠨𩨒鳮鸡鶏鷄䳶𪅹鸄𪌍𪔋齊齎齏齑
jí,乁亟亼亽伋佶偮𠑃𠓞𠗏㔕𠢠卙𠦫即卽𠨠厝𠫷及叝吇吉𠯉㗊𠶻𠹋㗱𠿠𢨐𡁰㘍𡃃𡅺圾堲塉㙫姞嫉𡦪尐㞋屰岋岌𡹪㠍㠎嶯𢃺㡮庴𢉗𢏞彶𢔔忣㤂急㥛愱戢㧀揖揤𢰒𢱣极𣏡㭲棘楖楫極槉𣖷橶𣛔檝𣜇𣣝殛㲺汲𣲡𣳃洁淁湒㴕𣹜潗濈焏𤊵𤎗㸅狤𤠎㻷㽺疾㾊𤷉瘠𤺷皀皍𤿠䁒𥈂𥊬瞿𥋥𥒡𥕂𥖙秸𥠋笈𥮪箿簎籍级級緝𦎢耤胔脊脨𦝖䐕膌𦞽𦠾𦩧艥艻莋蒩蒺𦵾𦶍蕀𦺩𦺴蕺藉𧈼𧉆𧉍蜡蝍螏𧎿蠀襋䚐覿觙𧤏𧥄诘𧧩諔𧩦𧪠𧮭谻䞘趌趞𧽑䟌𧾢踖𨂢蹐躤𨋉輯辑轚郅郆𨛳䣢𨤹銡𨦮鍓𨪏鏶𨸚集𩀖雦雧霵革䩐鞊䩯𩢴𩦤䯂𩴃䲯䳭𪂺鶺鹡鷑𪄸
jǐ,丮几𠮯𠱨㚡妀㞆㞛㞦嵴己幾𢓄𢜭戟㦸㧗挤掎㨈撠擠極泲济㴉濟𤜝犱𤜾穖𥪼𥾊紀纪給给䍤脊虮蟣蟻𧾾踦𨄐𨒴䢳䤒𨳋𩉢颳𩯋魕魢鱾𪂍麂
jì,伎㑧偈㒫其兾冀剂剤㓹劑𠨕哜𠱙𠲹𠴫𠿉嚌𡁪坖垍𡋚塈㙨妓姼𡜱季𡥞𡦊寂寄𡪱𡬄㞃峜𡽉㠱𢁂帺幾㡭廭𢍇彐彑徛忌𢗂㤅𢗹𢚁悸惎㥍𢢞懠懻技𢭄㨳擊𢺼𢼷旡𣄯既𣄱旣暨暩曁梞𣔽㮨檕檵櫅櫭㰟𣪠㲅𣯅𣱗汥洎济済㳵漃漈𣽍濟瀱㸄𤓑㹄𤛄猗𤤋㻑璾𤫝畟𤵀疵痵㾵瘵𤺗癠䀈睽瞉祭禝禨稩穊𥠈稷穄𥡴穖穧𥣩𥪫𥭋𥭌𥭜𥷙粢系紀纪紒結継继䋟𦁳𦂑繋繫繼𦆡𦇧𦋋罽𦌗肌䐀𦜸臮𦪱芰茍茤荠𦮯𦮼葪蓟䓽蔇𦺶薊薺𦾲蘎蘮𧃞蘻𧇯䗁蟿𧓓𧙁裚襀𧟜觊𧡉𧡯覬𧢾計计訐記记䛋𧧃𧧟誋諅𧪇𧫜䜞䝸𧾽𨀶跽踑䠏𨂢䢋𨛉𨛑𨜒𨢵䤒𨣧䦇际際霁䨖霽𩓮𩞊𩧱騎𩥉䮺骥驥𩩛髻䰏𩯰鬾魝魥鮆鲚鯽鲫鯚䱥鰶鰿鱀𩼄𩼚鱭鵋𪄵𪊆齊齐䶓齌齍𪘥䶩
jiā,乫伽佳傢加咖𠷉𠺢嘉埉夹夾㚙宊家𡩚𡭘𡶥𢪍抸拁挟挾擖枷梜椵𣪇毠𣮫泇浃浹犌㹢𤟚猳𤠙珈痂䂟𥝿𥡮笳䇲筴𥹌糘𦎮耞𦙺腵𦣯茄葭䕒𧉪袈袷裌𧦤豭貑跏迦𨔗𨔣鉫鉿鎵镓𩊏駕𩶛䴥麚𪐓𪔟
jiá,㕅唊圿𡊠夹夾岬忦𢗊恝戛戞扴𢫢拮挈揩揳㪴㮖猰㿓䀫䀹𥇗𥑔𥞵筴絜𦎱𦧮荚莢𦸘𦺧𦽤䕛蛱蛺䘥袷裌䛟𧿵跲𨒇郏郟铗鋏𩉡䩡頡頬颊頰𩚲餄𩠃𩛩骱鴶鵊𪇷𪈟𪙏
jiǎ,假叚呷嘏夏婽岬徦押斚斝暇柙椵榎槚檟𣦉𤖰𤗜玾甲瘕𥑐胛䑝蝦賈贾鉀钾𩌍𩨹𩲣𪆲
jià,价假價嫁家幏𢉤𢜿𢱈𢱌架枷榢㸦𥋣稼𦙺𦨦賈𨔣駕驾駱
jia,家
jiān,傔兼冿㓺㔋𠫘咸喊𠷁𠼤𠿏𡄑囏坚堅奸姦姧孱𡬵尖帴𢃬㡨幵𢐆惤戋戔㦰𢦺𢨿揃搛𢳚攕㪠㭴椷椾樫𣘖𣘷𣚙𣝕櫼歼殱殲𣮏沮浅淺渐湔溅漸𣽖濺瀐瀸煎熞𤍖熸牋犍㹇猏玪瑊𤪋监監睷𥊇𥌈碊礛稴𥡝笺箋篯籈籛𥻧緘缄縑缣䌑䌠纖𦋰𦏔肩𦣨艰艱菅菺葌䓸蒹蔪䔐蕑蕳𦽇𧂢虃䘋覸𧢖𧤨𧥈豜豣𧲨趼軒𨔥銒鋑鋻鐧鑯閒間间𨳡𨳿𨴾𩅼𩆯𩆷𩇏靬𩋋鞬鞯𩌯𩍎韀韉𩎒𩛧餰馢𩱃鲣鰔鰜鳒鰹鳽鵳𪃋鶼鹣麉𪏊黚𪐻黬𪒹䶢𪙨䶬
jiǎn,俭倹𠍚儉𠏇𠐻减前剪劗㔓咸𠹟𠽱𡄓𡅶囝堿𡑯𡭭𡸃𡾰帴𢆞𢍫弿彅戩戬𢩀拣挸捡揀揃揵㨵𢵈撿暕枧柬梘检検楗橏檢𣜭𣠷𣥞𣳲涀㳨減湕瀽㶕𤄒煎犍瑐𥀹睑瞼𥍀𥍹硷碱礆𥜲䄯䅐𥢇笕筧简箴簡䉍𥳒𥳟𥳷籛絸𦁲𦂇繭翦𦢣茧𦺍𦺘藆𧀇𧅆蠒裥襇襉襺䚊詃謇謭谫𧬫譾𧮈𧸘趼䟰蹇醎𨢑𨣇醶𨣝𨤄锏錢錽鐗鐧𨰓閒間險𩉍䭕䭠𩟗騫䮿鬋鰎𩽜鹸𪉦鹹鹻鹼䵡䵤𪒫齊䶠
jiàn,件侟俴𠊒健僣僭剑剣剱劍劎劒劔塹墹寋𢆦建徤㣤揵㨴擶旔朁栫梘楗榗槛𣚙檻㯺㰄毽洊𣴓涧淺渐湔溅漸澗㵎𣽦濫𤀩濺瀳煎牮犴珔𤧣𤷃监監瞯瞷磵礀䇟箭𥯦𥴱糋𥽐繝聻腱𦞬臶舰𦩵艦茛荐葥蔪薦𦾶𧀵𧂂𧂆螹𧗸袸𧙧見见覵𧤽𧧅諓諫谏譖譼贱賎賤趝䟅跈践踐踺𨍒𨎫轞𨏊䤔釰釼鉴锏鋻键鍊鍳鍵𨪅鏩䥜鐱鑑鑒鑬鑳閒間间𨵭𨷓䧖𩅼𩉔鞬䫡饯䬻餞䭈䭙𩤊䯡𩻘𪃛𪆿𪉦𪋁𪙨
jian,橺
jiāng,僵𠘌壃姜将將𡷍彊𢪇摪槳橿殭江浆漿𤕭𤕯𤛜㹔畕畺疅疆𥆅𥔣礓𥗪𥬮糨繮缰翞𦦗茳葁蔣薑螀螿䗵𧘍䜫豇𨃇𨜰韁鳉鱂
jiǎng,傋勥塂𡏞𡑶奖奨奬將㢡桨槳㯍𣫳𤖛獎䁰䉃𥷃䋌耩膙䒂蒋蔣讲講𩌾顜
jiàng,勥匞匠𠷐𠼢夅将將𡲣嵹弜弶強强彊𢘸摾𣚦櫤𣨣𣩴洚浆滰漿犟畺疆𥞜糡糨紅絳绛蔃虹袶謽䞪酱醤醬䥒𨯞降𩝽𩴒𩷄𩷭𪀘
jiang,杢
jiāo,交佼僥僬儌𠝑𠩏咬嘄嘐噍𡏭𡓖姣娇𡟠嫶嬌峧嵺嶕嶣徼憍憢𢧱挍撟教椒橋𣝞㲬浇湫𣺳澆激㶀焦燋𤺃𥃪𥄉𥉼矯礁穚簥𥹜𦅃䌭䍊𦌆胶膠膲艽芁𦫶茭茮菽萩蕉蕎虠蛟蟭䙼𧣦跤轇𨎦䢒𨓩郊鄗𨨴鐎𨱓𨶲𨸋𩎔骄𩥊驕骹𩴧𩵰鮫鲛𩾗𩾾𩿑鵁䴔𪁉鷦鷮鹪䶰𪚰
jiáo,嚼矫矯
jiǎo,佼侥僑僥僬儌𠕧𠜅剿𠞰劋勦卻咬喬𡙎妖姣孂𢀌㡑𢄺𢅎徺徼恔憿挢捁搅𢯴摎摷撟撹𢶡㩰攪𢻟敥敫敽敿𣁹晈暞曒㭂𣏑校樔橋𣧦𣩓㳅湫湬潐𤃭灚烄𤉧煍燞狡璬㽱㽲𤶀𤶳皎皛皦𥂨䀊𥃤𥃧𥅟𥇟𥉒䁶矫𥏹矯笅筊𥳴䉰糾絞绞繳缴纐𦗵脚腳膠臫䕧𧂈𧎙𧎸蟜䘨角䚩譑賋踋蹻𨇕𨖵𨝰釥鉸铰䥞𨶟𨶪𨺹隦餃饺䰘鱎
jiào,僬𠘣叫叽呌嘂嘄嘦噍噭嚼嬓𡥈學𡬋峤嶠㠐𢒾𢕪徼悎𢥚挍𢺽𢼫敎教敫斠㬭校橋㰾滘漖潐激灂爝𤕝㹾獥珓𤫷皭䂃𥘊稾𥡤窌窖𥦢筊絞繳𦮁藠觉覺䚩訆譥𧺜趫趭𧾐䡈較轿较轎𨎬酵𨡃醮釂𨲭𩊔𩏷餃𩯘𩱞𪖄
jiao,櫵鵤
jiē,亥偕𠙤㓩喈喼嗟嚌堦媘嫅差㡇担接掲揭擑𣆟㫸椄楷𣶏湝煯𤭧𤮌疖痎癤皆䃈祖秸稭節𥷫結结𦀓𦁉𦈰罝脻𦝨节苴菨䕸蝔街裓𧞝𧪘謯鍇䥛䦈阶階鞂𩘅𩩰鶛𪉚
jié,𠂈𠄍𠅂倢偈偼傑𠐉㓗刦刧刼劫劼㔚卩卪㔾𠬮𠯙唧𠲵啑圾𡉷㘶𡔣契𡙣㛃婕媫𡣯孑𡨲𡩣尐㞏𡴱㞯𡵒岊𡸎崨嵑嵥㠎𡽱巀嶻幯𢈻𢎔𢎡𢢂㦢截𢨜扢𢪍𢫐拮𢬱捷掶𢮌㨗𢱄搩㨩𢴲擮擳𢷿𢻮昅杰桀桔桝椄𣓉楬楶概㮞榤㮮𣙴𣚃櫭𣮌𣮍𣰞𣲡𣳟洁洯渴滐潔𤁢㸅狤㼪疌𥁂𥅴䀷䀹睫𥇒䂝砝䂶𥓐碣礍𥝔𥝥䅥𥠹𥢻竭節𥵞紇𥾌紒結絜结𦀖䌖𦈜𦎒羯脥节莭𦵴蓵𦺢䕙𦿐𧉧蛣蜐蝍𧍠𧍩𧏥䗻蠘蠞蠽衱袷袺𧞩𧞬訐讦詰诘誱𧫑趌𧼨𧽄𧽟𧾢𧾯跲踕𨃲迼𨓰𨕽䣠𨥂鉣鍻䥛鞊頡颉䫘𩔄𩟦𩟶𩢴𩧵髻𩯰魝鮚鲒䲙𩾶𪀾𪉋𪁍𪃈𪅸𪇲𪌧𪖋
jiě,𠎿她姐媎檞毑獬袓解觧鍇飷
jiè,丯介价㑘借𠓢吤唶𠷟嗟堺𡗦𡗲妎㝏屆届岕𡵚嶰㠹庎徣悈戒拾斺暨楐楷𣬫𤘦𤙩犗玠琾界畍疥㾏㿍䁓砎䇒籍紒耤艐芥藉蚧蛶衸褯𧜅𧣋解觧誡诫諎䛺𨐑鎅𨵠雃𩡺𩧦骱䯰魪䰺䱄䲸鶛𪑹𪙏
jie,价假價家
jīn,𠂟今兓𠰇埐堻嶜巾𢎭惍㦗𢦊㧆斤津濜𤣶珒琻𤧫㻱璡𥂵矜矝砛䃡䃸禁竻筋䈥䈽紟䌝𦈟𦘔肋𦞬𦩏荕菳𧗁衿䘳襟觔𧢹𨆃𨔥金釒钅釿䤺𨭺𩀿𩤿𩻛鹶𪉢黅𪑙𪖼
